id,timestamp,source,rating,feedback_text,text_length,timestamp_clean,feedback_clean
2437,Jan 12 2024,app_store_review,2.0,"Cannot add address, the save button is greyed out Agent Vikram was handling it.!!!!",83,2024-01-12,"cannot add address, the save button is greyed out agent vikram was handling it.!!!!"
2254,02/13/2024,app_store_review,3.0,"My refund still hasn't come after 10 days, this is ridiculous (order #523158)",77,2024-02-13,"my refund still hasn't come after 10 days, this is ridiculous ()"
1642,2024-03-27,app_store_review,3.0,"Average experience, could be better",35,2024-03-27,"average experience, could be better"
1126,,survey_comment,3.0,Login button does nothing on the latest update Agent Rahul was handling it.!!!!,79,,login button does nothing on the latest update agent rahul was handling it.!!!!
1768,2024-03-07 12:44:23,survey_comment,2.0,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL,55,2024-03-07,why is there a service fee i never agreed to on my bill
2315,2024-03-28,app_store_review,,"Average experience, could be better",35,2024-03-28,"average experience, could be better"
1230,2024-03-11 12:51:55,app_store_review,1.0,Thank you to the agent Priya who handled my complaint so well (order #419457),82,2024-03-11,thank you to the agent priya who handled my complaint so well ()
2670,,support_ticket,1.0,Pedido llego tarde y faltaban articulos,39,,pedido llego tarde y faltaban articulos
1244,13-Feb-24,app_store_review,2.0,Coupon SAVE50 did not apply at checkout and I paid full price (order #491439),77,2024-02-13,coupon save50 did not apply at checkout and i paid full price ()
2098,Mar 12 2024,app_store_review,2.0,Nobody from support replied to my three emails (order #467476),62,2024-03-12,nobody from support replied to my three emails ()
1447,2024-02-10,support_ticket,1.0,Login button does nothing on the latest update (order #660957),67,2024-02-10,login button does nothing on the latest update ()
1712,21-Feb-24,support_ticket,2.0,"Package was left at the wrong door, I never received it",55,2024-02-21,"package was left at the wrong door, i never received it"
1703,25/03/2024,survey_comment,1.0,Thank you to the agent Priya who handled my complaint so well (order #456855),77,2024-03-25,thank you to the agent priya who handled my complaint so well ()
2185,02/28/2024,app_store_review,1.0,"Package was left at the wrong door, I never received it",55,2024-02-28,"package was left at the wrong door, i never received it"
1677,Jan 6 2024,survey_comment,,"Items were missing frooom my delivery, got only half the order (order #198123)",78,2024-01-06,"items were missing frooom my delivery, got only half the order ()"
1495,2024-01-17,support_ticket,4.0,"Super easy to use and quick checkout, well done team Agent Neha was handling it.",80,2024-01-17,"super easy to use and quick checkout, well done team agent neha was handling it."
1623,"January 25, 2024",app_store_review,2.0,SEARCH BAR SHOWS NO RESULTS EVEN FOR ITEMS THAT EXIST. THIS IS THE FIRST TIME.,78,2024-01-25,search bar shows no results even for items that exist. this is the first time.
1501,01/28/2024,survey_comment,3.0,My order arrived almost an hour late and the food was cold Agent Vikram was handling it.,88,2024-01-28,my order arrived almost an hour late and the food was cold agent vikram was handling it.
1018,2024-01-02 02:57:02,support_ticket,3.0,Customer care kept me on hold for 40 minutes then disconnected. This is the first time.,92,2024-01-02,customer care kept me on hold for 40 minutes then disconnected. this is the first time.
2326,"March 11, 2024",survey_comment,1.0,Waited two hours and the order was finally cancelled by the app. This is the third time.,88,2024-03-11,waited two hours and the order was finally cancelled by the app. this is the third time.
1478,01/02/2024,survey_comment,1.0,Notifications stopped working after the update. This is the fourth time.,72,2024-01-02,notifications stopped working after the update. this is the fourth time.
1376,17-Jan-24,support_ticket,5.0,"Five stars, the app is fantastic and reliable - my milk order in Delhi",70,2024-01-17,"five stars, the app is fantastic and reliable - my milk order in delhi"
2476,,support_ticket,,Delivery persooon was rude and threw the bag on the floor. This is the fourth time.,83,,delivery persooon was rude and threw the bag on the floor. this is the fourth time.
1567,2024-03-02,app_store_review,4.0,"Five stars, the app is fantastic and reliable - my biryani order in Chennai",75,2024-03-02,"five stars, the app is fantastic and reliable - my biryani order in chennai"
1761,,survey_comment,,"Package was left at the wrong door, I never received it. This is the second time.",81,,"package was left at the wrong door, i never received it. this is the second time."
1458,2024-02-17,survey_comment,3.0,App stuck on loading screen for 5 minutes then closed. This is the fourth time.,84,2024-02-17,app stuck on loading screen for 5 minutes then closed. this is the fourth time.
1479,28/02/2024,app_store_review,5.0,"Love this app, ordering is so smooth and fast Agent Meera was handling it.",74,2024-02-28,"love this app, ordering is so smooth and fast agent meera was handling it."
2245,Feb 24 2024,app_store_review,1.0,"Package was left at the wrong door, I never received it - my thali order in Chennai",83,2024-02-24,"package was left at the wrong door, i never received it - my thali order in chennai"
1180,09-Feb-24,app_store_review,3.0,"Cannot add address, the save button is greyed out - my milk order in Delhi",74,2024-02-09,"cannot add address, the save button is greyed out - my milk order in delhi"
1653,"March 11, 2024",app_store_review,,"Average experience, could be better",35,2024-03-11,"average experience, could be better"
2791,2024-01-16,app_store_review,5.0,why is there a service fee i never agreed to on my bill,55,2024-01-16,why is there a service fee i never agreed to on my bill
2270,Jan 2 2024,app_store_review,,"Average experience, could be better",35,2024-01-02,"average experience, could be better"
1558,,support_ticket,3.0,Works fine for me most of the time!!!!,38,,works fine for me most of the time!!!!
1108,,support_ticket,1.0,The support agent was very helpful and solved my issue quickly (order #602248),78,,the support agent was very helpful and solved my issue quickly ()
1148,"February 2, 2024",support_ticket,1.0,"Items were missing from my delivery, got only half the order",65,2024-02-02,"items were missing from my delivery, got only half the order"
2606,Mar 22 2024,survey_comment,,What are your office timings on weekends,40,2024-03-22,what are your office timings on weekends
2321,"January 14, 2024",app_store_review,,"It is okay, nothing special",32,2024-01-14,"it is okay, nothing special"
1621,"January 1, 2024",survey_comment,3.0,"I was charged twice for the same order, please refund the extra amount - my fruits order in Pune",101,2024-01-01,"i was charged twice for the same order, please refund the extra amount - my fruits order in pune"
1726,03-Mar-24,support_ticket,,Thank you to the agent Priya who handled my complaint so well Agent Anil was handling it.,89,2024-03-03,thank you to the agent priya who handled my complaint so well agent anil was handling it.
1254,Mar 3 2024,survey_comment,,"Super easy to use and quick checkout, well done team - my fruits order in Chennai",81,2024-03-03,"super easy to use and quick checkout, well done team - my fruits order in chennai"
2787,"March 24, 2024",app_store_review,3.0,Works fine for me most of the time.,35,2024-03-24,works fine for me most of the time.
2194,Jan 25 2024,app_store_review,3.0,ok i guess,10,2024-01-25,ok i guess
2108,,app_store_review,1.0,Coupon SAVE50 did not apply at checkout and I paid full price (order #160006),77,,coupon save50 did not apply at checkout and i paid full price ()
1600,2024-01-18,app_store_review,1.0,App keeps crashing every time I open the cart Agent Vikram was handling it.!!!!,79,2024-01-18,app keeps crashing every time i open the cart agent vikram was handling it.!!!!
1955,,support_ticket,1.0,COUPON SAVE50 DID NOT APPLY AT CHECKOUT AND I PAID FULL PRICE,61,,coupon save50 did not apply at checkout and i paid full price
2718,2024-03-01 13:11:22,app_store_review,5.0,"I was charged twice for the same order, please refund the extra amount",70,2024-03-01,"i was charged twice for the same order, please refund the extra amount"
1568,2024-01-21,app_store_review,3.0,ok i guess,15,2024-01-21,ok i guess
2056,02/08/2024,survey_comment,2.0,"My refund still hasn't come after 10 days, this is ridiculous",61,2024-02-08,"my refund still hasn't come after 10 days, this is ridiculous"
2242,12/02/2024,survey_comment,2.0,The store staff was friendly when I picked up my order - my fruits order in Mumbai,82,2024-12-02,the store staff was friendly when i picked up my order - my fruits order in mumbai
1207,"March 24, 2024",app_store_review,2.0,App keeps crashing every time I ooopen the cart,47,2024-03-24,app keeps crashing every time i ooopen the cart
2793,2024-02-06 04:29:37,app_store_review,3.0,App stuck on loading screen for 5 minutes then closed (order #220898),71,2024-02-06,app stuck on loading screen for 5 minutes then closed ()
1017,2024-01-15 07:14:04,support_ticket,3.0,Works fine for me most of the time,34,2024-01-15,works fine for me most of the time
2452,2024-01-26 11:50:05,support_ticket,,"Double deduction on my card for order, need this reversed asap. This is the fourth time.",88,2024-01-26,"double deduction on my card for order, need this reversed asap. this is the fourth time."
2147,09/02/2024,survey_comment,1.0,Waited two hours and the order was finally cancelled by the app (order #831618)!!!!,83,2024-09-02,waited two hours and the order was finally cancelled by the app ()!!!!
1920,,support_ticket,1.0,Search bar shows no results even for items that exist. This is the first time.,78,,search bar shows no results even for items that exist. this is the first time.
1291,Mar 20 2024,app_store_review,1.0,Login button does nothing on the latest update (order #567676),62,2024-03-20,login button does nothing on the latest update ()
1525,,survey_comment,3.0,Order marked delivered but nothing arrived at my place,54,,order marked delivered but nothing arrived at my place
1667,"February 24, 2024",survey_comment,,Search bar shows no results even for items that exist (order #952924),69,2024-02-24,search bar shows no results even for items that exist ()
1504,2024-01-18,survey_comment,3.0,My order arrived almost an hour late and the food was cold (order #673929),74,2024-01-18,my order arrived almost an hour late and the food was cold ()
1563,02/03/2024,survey_comment,,"It is okay, nothing special",27,2024-02-03,"it is okay, nothing special"
1869,2024-01-13,app_store_review,2.0,App stuck on loading screen for 5 minutes then closed (order #102342),69,2024-01-13,app stuck on loading screen for 5 minutes then closed ()
1195,24-Jan-24,app_store_review,1.0,Delivery person was rude and threw the bag on the floor Agent Neha was handling it.,83,2024-01-24,delivery person was rude and threw the bag on the floor agent neha was handling it.
2611,01/16/2024,support_ticket,,Please add more vegan restaurants to the platform,49,2024-01-16,please add more vegan restaurants to the platform
2779,"March 26, 2024",support_ticket,5.0,"Super easy to use and quick checkout, well done team - my milk order in Mumbai",78,2024-03-26,"super easy to use and quick checkout, well done team - my milk order in mumbai"
2462,08/01/2024,survey_comment,1.0,The map screen freezes and I cannot place an order (order #322623),66,2024-08-01,the map screen freezes and i cannot place an order ()
2396,,app_store_review,4.0,"Super easy to use and quick checkout, well done team",52,,"super easy to use and quick checkout, well done team"
2148,,support_ticket,,Order marked delivered but nothing arrived at my place (order #884346),70,,order marked delivered but nothing arrived at my place ()
2313,,app_store_review,1.0,"Cannot add address, the save button is greyed out - my burger order in Mumbai",77,,"cannot add address, the save button is greyed out - my burger order in mumbai"
1157,Feb 22 2024,app_store_review,,"My refund still hasn't come after 10 days, this is ridiculous - my sushi order in Pune",86,2024-02-22,"my refund still hasn't come after 10 days, this is ridiculous - my sushi order in pune"
1314,07/01/2024,survey_comment,3.0,meh!!!!,7,2024-07-01,meh!!!!
1815,2024-02-08 01:58:52,survey_comment,5.0,"Great experience overall, food always fresh Agent Neha was handling it.",71,2024-02-08,"great experience overall, food always fresh agent neha was handling it."
2262,,survey_comment,1.0,Order marked delivered but nothing arrived at my place (order #248249),70,,order marked delivered but nothing arrived at my place ()
2143,Mar 9 2024,survey_comment,,"Great experience overall, food always fresh. This is the second time.",69,2024-03-09,"great experience overall, food always fresh. this is the second time."
2008,01/03/2024,app_store_review,1.0,The suppooort agent was very helpful and solved my issue quickly. This is the second time.,90,2024-01-03,the suppooort agent was very helpful and solved my issue quickly. this is the second time.
2797,2024-01-21,app_store_review,,"great experience overall, food always fresh",43,2024-01-21,"great experience overall, food always fresh"
2758,12-Mar-24,support_ticket,5.0,"Looove this app, ordering is so smooth and fast (order #941356)",63,2024-03-12,"looove this app, ordering is so smooth and fast ()"
2705,2024-02-12 09:39:04,app_store_review,,Pedido llego tarde y faltaban articulos,39,2024-02-12,pedido llego tarde y faltaban articulos
1121,2024-01-23 16:35:53,support_ticket,2.0,"DOUBLE DEDUCTION ON MY CARD FOR ORDER, NEED THIS REVERSED ASAP AGENT ANIL WAS HANDLING IT.",90,2024-01-23,"double deduction on my card for order, need this reversed asap agent anil was handling it."
1759,02/21/2024,support_ticket,2.0,App keeps crashing every time I open the cart (order #426806),61,2024-02-21,app keeps crashing every time i open the cart ()
1966,18/02/2024,survey_comment,1.0,Thank you to the agent Priya who handled my complaint so well (order #322481),77,2024-02-18,thank you to the agent priya who handled my complaint so well ()
2051,2024-02-16 19:01:10,support_ticket,5.0,"Great experience overall, food always fresh",43,2024-02-16,"great experience overall, food always fresh"
2097,23/01/2024,support_ticket,2.0,"Items were missing from my delivery, got only half the order - my pizza order in Bangalore",90,2024-01-23,"items were missing from my delivery, got only half the order - my pizza order in bangalore"
1597,"February 26, 2024",app_store_review,2.0,Chat support gave me copy paste answers that did not help - my sushi order in Hyderabad,87,2024-02-26,chat support gave me copy paste answers that did not help - my sushi order in hyderabad
1705,,survey_comment,,"My refund still hasn't come after 10 days, this is ridiculous (order #223794)",77,,"my refund still hasn't come after 10 days, this is ridiculous ()"
1141,01/11/2024,support_ticket,1.0,Got charged for a subscription I cancelled last month (order #185569),69,2024-01-11,got charged for a subscription i cancelled last month ()
1324,12/01/2024,app_store_review,,Waited two hours and the order was finally cancelled by the app (order #597635),79,2024-12-01,waited two hours and the order was finally cancelled by the app ()
1492,23-Mar-24,app_store_review,,"Great experience overall, food always fresh (order #917707)",59,2024-03-23,"great experience overall, food always fresh ()"
2155,12-Jan-24,survey_comment,1.0,Search bar shows no results even for items that exist (order #755879),69,2024-01-12,search bar shows no results even for items that exist ()
1553,11/03/2024,support_ticket,5.0,"Best delivery service in my city, never had an issue Agent Meera was handling it.",81,2024-11-03,"best delivery service in my city, never had an issue agent meera was handling it."
1594,"March 4, 2024",survey_comment,,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL (ORDER #180685),71,2024-03-04,why is there a service fee i never agreed to on my bill ()
1599,Feb 2 2024,app_store_review,3.0,"Average experience, could be better!!!!",39,2024-02-02,"average experience, could be better!!!!"
1864,"January 28, 2024",support_ticket,,The support agent was very helpful and solved my issue quickly,62,2024-01-28,the support agent was very helpful and solved my issue quickly
1128,2024-01-17,support_ticket,,Delivery person was rude and threw the bag on the floor,55,2024-01-17,delivery person was rude and threw the bag on the floor
2305,2024-01-03,app_store_review,3.0,"My refund still hasn't cooome after 10 days, this is ridiculous (order #245453)",79,2024-01-03,"my refund still hasn't cooome after 10 days, this is ridiculous ()"
2181,11-Mar-24,survey_comment,5.0,"Best delivery service in my city, never had an issue",52,2024-03-11,"best delivery service in my city, never had an issue"
2026,,app_store_review,3.0,ok i guess,10,,ok i guess
1873,22-Feb-24,support_ticket,1.0,"ITEMS WERE MISSING FROM MY DELIVERY, GOT ONLY HALF THE ORDER. THIS IS THE THIRD TIME.",85,2024-02-22,"items were missing from my delivery, got only half the order. this is the third time."
1990,2024-02-18 21:31:16,app_store_review,5.0,"Love this app, ordering is so smooth and fast - my milk order in Hyderabad",74,2024-02-18,"love this app, ordering is so smooth and fast - my milk order in hyderabad"
1414,"February 20, 2024",app_store_review,1.0,My order arrived almost an hour late and the food was cold,58,2024-02-20,my order arrived almost an hour late and the food was cold
2466,Jan 14 2024,survey_comment,5.0,"SUPER EASY TO USE AND QUICK CHECKOUT, WELL DONE TEAM (ORDER #842561)",68,2024-01-14,"super easy to use and quick checkout, well done team ()"
2017,"February 16, 2024",support_ticket,3.0,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL (ORDER #797576),71,2024-02-16,why is there a service fee i never agreed to on my bill ()
1331,"March 2, 2024",app_store_review,3.0,Delivery person was rude and threw the bag on the floor (order #538897),71,2024-03-02,delivery person was rude and threw the bag on the floor ()
2682,2024-01-01 20:36:10,survey_comment,1.0,"App bahut acchi hai, bahut fast hai",35,2024-01-01,"app bahut acchi hai, bahut fast hai"
1823,2024-01-01,support_ticket,1.0,"My refund still hasn't come after 10 days, this is ridiculous - my burger order in Hyderabad",92,2024-01-01,"my refund still hasn't come after 10 days, this is ridiculous - my burger order in hyderabad"
1532,2024-02-25,support_ticket,2.0,The new version drains my battery so fast (order #214027),57,2024-02-25,the new version drains my battery so fast ()
1663,2024-02-26 06:05:26,support_ticket,,"Items were missing from my delivery, got only half the order (order #820861)",76,2024-02-26,"items were missing from my delivery, got only half the order ()"
1991,2024-01-16,support_ticket,2.0,Got charged for a subscription I cancelled last month - my milk order in Delhi,78,2024-01-16,got charged for a subscription i cancelled last month - my milk order in delhi
1904,17-Feb-24,support_ticket,,ok i guess!!!!,14,2024-02-17,ok i guess!!!!
2159,03/02/2024,survey_comment,,"Super easy to use and quick checkout, well done team",52,2024-03-02,"super easy to use and quick checkout, well done team"
1210,"February 12, 2024",survey_comment,2.0,Waited two hours and the order was finally cancelled by the app - my sushi order in Kolkata,91,2024-02-12,waited two hours and the order was finally cancelled by the app - my sushi order in kolkata
2698,2024-02-14 17:20:34,app_store_review,2.0,Le livreur etait tres impoli et la commande etait froide,56,2024-02-14,le livreur etait tres impoli et la commande etait froide
1382,Jan 18 2024,app_store_review,,Order marked delivered but nothing arrived at my place (order #176806),75,2024-01-18,order marked delivered but nothing arrived at my place ()
1144,03/21/2024,app_store_review,4.0,"Super easy to use and quick checkout, well done team (order #977330)",68,2024-03-21,"super easy to use and quick checkout, well done team ()"
1693,"March 5, 2024",support_ticket,3.0,"It is oookay, nothing special",29,2024-03-05,"it is oookay, nothing special"
2067,17/01/2024,survey_comment,1.0,My order arrived almost an hour late and the food was cold - my fruits order in Delhi,85,2024-01-17,my order arrived almost an hour late and the food was cold - my fruits order in delhi
2535,Mar 10 2024,app_store_review,5.0,"Wonderful, charged me twice, exactly what I wanted today",56,2024-03-10,"wonderful, charged me twice, exactly what i wanted today"
2339,15-Jan-24,support_ticket,5.0,"Great experience overall, food always fresh - my milk order in Bangalore",72,2024-01-15,"great experience overall, food always fresh - my milk order in bangalore"
1252,03/09/2024,app_store_review,2.0,Order marked delivered but nothing arrived at my place,54,2024-03-09,order marked delivered but nothing arrived at my place
1846,22-Jan-24,app_store_review,3.0,Customer care kept me on hold for 40 minutes then disconnected Agent Neha was handling it.,90,2024-01-22,customer care kept me on hold for 40 minutes then disconnected agent neha was handling it.
1169,2024-02-17 07:13:37,support_ticket,1.0,Waited two hours and the order was finally cancelled by the app - my fruits order in Hyderabad,99,2024-02-17,waited two hours and the order was finally cancelled by the app - my fruits order in hyderabad
2293,,survey_comment,1.0,Login button does nothing on the latest update!!!!,50,,login button does nothing on the latest update!!!!
1540,Mar 28 2024,app_store_review,,"Super easy to use and quick checkout, well done team - my biryani order in Hyderabad",84,2024-03-28,"super easy to use and quick checkout, well done team - my biryani order in hyderabad"
2519,"February 25, 2024",app_store_review,5.0,"Brilliant, my refund is 'on the way' for the third week now, lovely!!!!",71,2024-02-25,"brilliant, my refund is 'on the way' for the third week now, lovely!!!!"
2386,,survey_comment,3.0,The stooore staff was friendly when I picked up my order,56,,the stooore staff was friendly when i picked up my order
1987,,app_store_review,2.0,Search bar shows no results even for items that exist (order #814544),74,,search bar shows no results even for items that exist ()
2073,02/21/2024,app_store_review,2.0,The new version drains my battery so fast Agent Neha was handling it.,69,2024-02-21,the new version drains my battery so fast agent neha was handling it.
2196,"February 8, 2024",survey_comment,1.0,Delivery person was rude and threw the bag on the floor (order #968454),71,2024-02-08,delivery person was rude and threw the bag on the floor ()
2379,Mar 14 2024,app_store_review,2.0,Customer care kept me on hold for 40 minutes then disconnected Agent Anil was handling it.,90,2024-03-14,customer care kept me on hold for 40 minutes then disconnected agent anil was handling it.
2307,2024-03-10,app_store_review,,ok i guess,10,2024-03-10,ok i guess
1890,Mar 15 2024,app_store_review,2.0,Login button does nothing on the latest update. This is the first time.,71,2024-03-15,login button does nothing on the latest update. this is the first time.
1443,25-Feb-24,app_store_review,1.0,Why is there a service fee I never agreed to on my bill - my sushi order in Delhi,86,2024-02-25,why is there a service fee i never agreed to on my bill - my sushi order in delhi
1137,Feb 26 2024,app_store_review,3.0,Food was spilled all over the bag when it reached me - my burger order in Hyderabad,83,2024-02-26,food was spilled all over the bag when it reached me - my burger order in hyderabad
1696,,support_ticket,,"Five stars, the app is fantastic and reliable. This is the third time.",75,,"five stars, the app is fantastic and reliable. this is the third time."
2461,Jan 20 2024,app_store_review,2.0,The map screen freezes and I cannot place an order,50,2024-01-20,the map screen freezes and i cannot place an order
1932,25/02/2024,app_store_review,1.0,Thank you to the agent Priya who handled my complaint so well (order #289030),77,2024-02-25,thank you to the agent priya who handled my complaint so well ()
1448,2024-02-12 22:50:02,support_ticket,1.0,"I was charged twice for the same order, please refund the extra amount - my milk order in Hyderabad",99,2024-02-12,"i was charged twice for the same order, please refund the extra amount - my milk order in hyderabad"
1767,26-Feb-24,survey_comment,,Works fine for me most of the time,34,2024-02-26,works fine for me most of the time
1386,2024-03-18 02:19:13,support_ticket,1.0,"Items were missing from my delivery, got only half the order (order #105274)",76,2024-03-18,"items were missing from my delivery, got only half the order ()"
1039,Mar 11 2024,survey_comment,2.0,"Package was left at the wrong door, I never received it - my groceries order in Chennai",87,2024-03-11,"package was left at the wrong door, i never received it - my groceries order in chennai"
1895,07-Mar-24,support_ticket,,Nobody from support replied to my three emails (order #563664),62,2024-03-07,nobody from support replied to my three emails ()
1069,10/03/2024,support_ticket,,Works fine for me most of the time,34,2024-10-03,works fine for me most of the time
1655,01/22/2024,app_store_review,,Works fine for me most of the time,34,2024-01-22,works fine for me most of the time
1628,13/02/2024,support_ticket,1.0,My order arrived almost an hour late and the food was cold,58,2024-02-13,my order arrived almost an hour late and the food was cold
1358,,app_store_review,1.0,Thank you to the agent Priya who handled my complaint so well,66,,thank you to the agent priya who handled my complaint so well
2244,,app_store_review,2.0,"Package was left at the wrong door, I never received it (order #336802)",71,,"package was left at the wrong door, i never received it ()"
2023,,app_store_review,5.0,"Five stars, the app is fantastic and reliable",45,,"five stars, the app is fantastic and reliable"
1952,01/18/2024,app_store_review,3.0,"I was charged twice for the same order, please refund the extra amount. This is the second time.",101,2024-01-18,"i was charged twice for the same order, please refund the extra amount. this is the second time."
1036,09-Jan-24,survey_comment,,Search bar shooows no results even for items that exist (order #792094),71,2024-01-09,search bar shooows no results even for items that exist ()
